ship names,ship url,journey id,captains,place start,place end,intended ending place,journey type,sources
Bremen,https://portal.prizepapers.de/ship/prizepapers_ship_424cafd2-8eec-41a6-bd24-38671972c724/1/-/,32c5de15-d31b-4b9c-954b-5589eb6070aa,"Lieder Wieting, master of the ""Bremen"" in 1797",Bremen,Caribbean Sea,Demerara,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/73e2b220-c9f6-40d8-a88f-4d74b5aad8a6', 'HCA 45/30/11']]"
Potomack,https://portal.prizepapers.de/ship/prizepapers_ship_9681e15b-257d-4098-ae07-4644441c2ea7/1/-/,b73398b3-c43f-45b0-bbdb-1a7011dde9b9,"Robert Chunn, master of the Potomack in 1794",Norfolk (Virginia),North Atlantic Ocean,France,Journey interrupted by capture,"[['http://discovery.nationalarchives.gov.uk/details/r/C16978621', 'HCA 45/23/34']]"
Lynx,https://portal.prizepapers.de/ship/prizepapers_ship_532d6b2c-f5de-4578-bf0a-0222522f0d6d/1/-/,9ee42645-a650-4648-a8be-6fe3eb22ba0c,"Henry Hassell, master of the ship 'Active', 1798; and the Lynx, 1798",Curaçao,Caribean Sea,St Thomas,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/e0e1a3a6-b5df-40c9-9cb5-b557fee0ce7a', 'HCA 45/31/14']]"
La Concorde,https://portal.prizepapers.de/ship/prizepapers_ship_428ee495-566f-41b0-9be8-c1b34b4a663a/1/-/,c61cfc66-6dad-4ab3-b8a0-1f64137d55bf,,Norfolk (Virginia),,France,Journey,
Robins,https://portal.prizepapers.de/ship/prizepapers_ship_c2777631-cefc-4513-8734-1d639dc6100f/1/-/,2ef75667-6e4a-43dd-afbf-9cf17ceffde3,"Peter Frye, master of the Robins in 1794",Guadeloupe,Montserrat,Salem,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/4b0beaa5-bb0b-4dd0-8851-a89b77d3ef51', 'HCA 45/23/35']]"
Emden,https://portal.prizepapers.de/ship/prizepapers_ship_2032c825-91f7-44d5-9068-99b7772a9ab4/1/-/,8f6c572e-5e1a-4679-8977-0735d97efa20,"Roelof Pieterson Meyer, master of the ship ""Emden"" 1798",Texel,North Atlantic Ocean,Greenland Sea,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/48d75d8e-dfce-426a-9034-a1362c0c7ba8', 'HCA 45/27/18']]"
Bernhard,https://portal.prizepapers.de/ship/prizepapers_ship_221aa769-236b-4d70-b28c-50afa9102f03/1/-/,20de72db-a475-4068-98b3-8ad8dab43752,"Claas Brau, master of the Bernhard in 1796",Demerara,North Atlantic Ocean,Bremen,Journey interrupted by capture,[]
Hetty,https://portal.prizepapers.de/ship/prizepapers_ship_fe2b2904-d571-42c0-9565-3df9bc29d1e2/1/-/,f289058b-3cfa-4bac-bc7d-9c85b531f6f2,"Thomas Boyle, master of the 'Hetty' in 1793",Saint Domingue,"Nassau, New Providence",Philadelphia,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/3b5f6443-e305-4afc-96f6-ecb18035d37a', 'HCA 45/27/25']]"
Little Mary,https://portal.prizepapers.de/ship/prizepapers_ship_4bf6376d-0e86-4037-b55e-489b5e570da6/1/-/,83cd753f-2c90-4255-b261-287f1450c2db,"Jacob Benners, master of the ship ""Little Mary"" 1797",Surinam,North Atlantic Ocean,Philadelphia,Journey interrupted by capture,"[['http://discovery.nationalarchives.gov.uk/details/r/C16978789', 'HCA 45/27/38']]"
Friendship,https://portal.prizepapers.de/ship/prizepapers_ship_6738d6b0-153b-476f-9549-2bccdb34bafb/1/-/,56c7db40-cd2a-4598-b3ef-2ed462a86c46,"Samuel Wheaton, master of the ship ""Friendship"" 1796",Surinam,North Atlantic Ocean,Providence,Journey interrupted by capture,"[['http://discovery.nationalarchives.gov.uk/details/r/C16978791', 'HCA 45/27/40']]"
William,https://portal.prizepapers.de/ship/prizepapers_ship_0f793bce-882d-40c9-acc5-4889e2ab0150/1/-/,c2c7a67d-a877-4e17-b928-62949616cffe,"William Richmond, master of the ""William"" in 1794",Guadeloupe,North Atlantic Ocean,Dighton,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/fe77af00-bc69-4aaf-b2ac-7b7e3e7eaa71', 'HCA 45/29/31']]"
Rachel,https://portal.prizepapers.de/ship/prizepapers_ship_8fd1a4c4-2044-4c90-bc3f-c5562a2bbd7f/1/-/,004945eb-9f3e-49d1-830d-7919f8458a9b,"Silvester Robinson, master of the ""Rachel Brig"" in 1793",Saint Domingue,North Atlantic Ocean,Philadelphia,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/6c0d9450-9e72-4f07-89f6-55a5cf7abe52', 'HCA 45/30/26']]"
San Francisco Providentia,https://portal.prizepapers.de/ship/prizepapers_ship_32dbd5ed-88bb-450c-a892-c95ab3226a87/1/-/,04f0eb7a-2b5a-4ae6-865b-d25e634839f5,"Joao Franco, master of the San Francisco Providentia in 1794","Pará, Brazil",North Atlantic Ocean,Lisbon,Journey interrupted by capture,[]
Nord Stern,https://portal.prizepapers.de/ship/prizepapers_ship_44365cd4-0861-429a-8c01-33ca6e538cf9/1/-/,34ada367-f7af-49e3-a453-8d12b92e01c3,"Mads Gronhoff Samsing, master of the Nord Stern in 1798",Cádiz,North Atlantic Ocean,St Thomas,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/6884aafe-8b58-413f-8606-af29249bac6c', 'HCA 45/37/41']]"
Aurora,https://portal.prizepapers.de/ship/prizepapers_ship_b1871329-1a7e-4104-8685-41e9964efe6c/1/-/,dfb84a97-887f-4554-a1e4-cf9799869904,"John Woolridge, master of the Aurora in 1798",Surinam,Atlantic Ocean,Boston,Journey interrupted by capture,[]
Manchester,https://portal.prizepapers.de/ship/prizepapers_ship_e4cb497c-f092-48a2-819e-ebb391f2464a/1/-/,743f8635-d120-4777-9cb7-69ed0c3176ce,"Joseph Reynolds, master of the ship 'Manchester', 1804",Cádiz,North Atlantic Ocean,Philadelphia,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/4dbfa2ed-679f-4f17-99c8-4653b5970ae1', 'HCA 45/63/1']]"
Martha,https://portal.prizepapers.de/ship/prizepapers_ship_554e5643-a3be-4957-b736-f6d0f4945011/1/-/,5f86af71-0cbd-4736-a910-ecfecdb67fa8,"John Cummings, master of the ""Martha"" in 1797",Bordeaux,North Atlantic Ocean,New York City,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/b3a1254d-3d22-493b-8054-2f775cf32694', 'HCA 45/30/29']]"
Maria,https://portal.prizepapers.de/ship/prizepapers_ship_a2a7b6f8-bb3a-4312-b351-49abecde373a/1/-/,f8cd8bf0-0089-4624-9648-f96204d0cc97,"Bernardo Del Mello, master of the Maria in 1799",Havana,North Atlantic Ocean,Vera Cruz (Portugal),Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/443f5f6a-b862-4b2f-857c-5dcdd755181d', 'HCA 45/34/11']]"
Harmony,https://portal.prizepapers.de/ship/prizepapers_ship_5c6548bf-4535-4803-ba5c-d7a247fac251/1/-/,8fad8833-0769-43fc-9fdc-3d068a926160,"John Shackford, master of the Harmony in 1797",Havana,North Atlantic Ocean,"Baltimore, Maryland",Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/9fe079de-38ab-432e-ab17-d31b6f4947a4', 'HCA 45/34/14']]"
Phoenix,https://portal.prizepapers.de/ship/prizepapers_ship_3edc7888-79b2-4389-9325-cb0f604a4379/1/-/,5e3e36a7-a475-4c0a-8715-ec7fe8da42ec,"William Harlow, master of the ""Pheonix"" in 1794",Martinique,Martinique,"Plymouth, Massachusetts",Journey interrupted by capture,[]
Grace,https://portal.prizepapers.de/ship/prizepapers_ship_b72f99e3-de38-4f45-94f5-2ab82ceb8587/1/-/,6427335f-014a-4a69-a29d-16d128b777ff,"Joshua Vail, master of the Grace in 1793",St Marc,North Atlantic Ocean,Philadelphia,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/f69bb6bf-323d-4808-848a-59b7b051950c', 'HCA 45/23/38']]"
Graf Bernstorff,https://portal.prizepapers.de/ship/prizepapers_ship_daf8bd4f-2142-423c-b52b-6a253748f940/1/-/,59e0ac65-2bd9-44e2-968b-1b14585d3c94,"Knud Hansen Schipper, master of the ""Graf Bernstorff"" in 1797",Gdansk,North Atlantic Ocean,Barcelona,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/5b76f032-5eaf-456c-aaac-b8e0e2dffe15', 'HCA 45/36/10']]"
Neptunus,https://portal.prizepapers.de/ship/prizepapers_ship_e1a8980a-8f1b-42f1-b3aa-62d707eb22e7/1/-/,50059505-60a5-4aa3-84b8-f69213c5fec0,"Hans Brun, master of the ship ""Neptunus"" 1795",Amsterdam,North Sea,Africa,Journey interrupted by capture,[]
Mary,https://portal.prizepapers.de/ship/prizepapers_ship_cc25ecea-6c0f-4021-a488-cc00a936f79b/1/-/,183b803b-9e43-4498-a407-dbeba8f334d7,"Benjamin Cushing, master of the ""Mary"" in 1798",Surinam,North Atlantic Ocean,Boston,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/dadddad8-15e5-44ba-9d4a-66fc37e01cee', 'HCA 45/36/13']]"
Unity,https://portal.prizepapers.de/ship/prizepapers_ship_e99a4552-d69c-49f1-bdc4-e27b0dfdb06b/1/-/,18ea78e5-4c60-4ddb-a196-c329063b490c,"Hiram Verdit, master of the Unity in 1794",Guadeloupe,Caribean Sea,St Thomas,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/2713bdbb-0d0c-4f40-9856-2177997ff7b9', 'HCA 45/19/27']]"
Sophia Magdalena,https://portal.prizepapers.de/ship/prizepapers_ship_a46b03f7-a1d0-407e-8e75-fb3d50fd9d28/1/-/,193dc8d1-31f0-4e05-9e8f-9adcbb884821,"Herman Michael Sahn, master of the ""Sophia Magdalena"" in 1798",Hamburg,North Atlantic Ocean,Saint Barthélemy,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/56d871f3-7858-4ac6-b768-c3a7f2ebcbf0', 'HCA 45/36/14']]"
Abigail,https://portal.prizepapers.de/ship/prizepapers_ship_6a42c049-c356-4271-96c9-f1cf70541a05/1/-/,650e53c8-5c96-41ec-93f6-01ef0c9ce00c,"William McCarty, master of the ship 'Abigail', 1796",London,North Atlantic Ocean,Surinam,Journey interrupted by capture,[]
Eliza,https://portal.prizepapers.de/ship/prizepapers_ship_fc562396-fb19-4c85-b1de-00c9f15147a0/1/-/,06604f91-7e6b-42bf-aa44-5da83cdec0ab,"Thomas Robison, master of the Eliza in 1796",Surinam,North Atlantic Ocean,Amsterdam,Journey interrupted by capture,[]
Alexander,https://portal.prizepapers.de/ship/prizepapers_ship_b4246aa1-5974-4a44-93f9-feb6532e1b1d/1/-/,750b13dd-a9ab-40bc-ae81-349f4e1306df,"Justin Daniel McCarthy, master of the Alexander in 1799",Puerto Rico,Caribbean Sea,Guadeloupe,Journey interrupted by capture,[]
Jesus Nazarino,https://portal.prizepapers.de/ship/prizepapers_ship_7c76a509-87f7-406a-af96-33bd023187ab/1/-/,c59a5db9-be97-4bf4-b1c2-2db543be3556,"Francisco Inver, master of the ship Jesus Nazarino, 1799",Cádiz,Caribbean Sea,Veracruz (Mexico),Journey interrupted by capture,
Minerva,https://portal.prizepapers.de/ship/prizepapers_ship_e082c65d-4649-4382-99fc-22fb6e7f3007/1/-/,97427c19-e26d-4b2f-8449-84837355062e,"Joseph Glenn, master of the ship 'Minerva', 1804",Cádiz,North Atlantic Ocean,Vera Cruz (Portugal),Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/8b5813f3-767d-451a-b040-155487414f1a', 'HCA 45/55/1']]"
Pax,https://portal.prizepapers.de/ship/prizepapers_ship_3e812e57-c014-4ed9-87eb-a0d04590be45/1/-/,27b96b5f-c536-471a-89ea-c7bac5b007a1,"Hooye Fredericks, master of the ""Pax"" in 1798",Emden,The Channel,Surinam,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/c4ae0c23-7709-4008-aea3-5afefb9c0d7a', 'HCA 45/32/15']]"
Friendship,https://portal.prizepapers.de/ship/prizepapers_ship_566f5fb7-e9bb-4c63-aa74-70b9d8646c48/1/-/,42c873d2-ab4c-44e0-9fc1-c245c510863e,"Robert Butler, master of the ship 'Friendship', 1800",Cádiz,North Atlantic Ocean,Charleston,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/7dbab0fd-bec1-4dcc-bec3-d11e0ebaa073', 'HCA 45/47/29']]"
Hare,https://portal.prizepapers.de/ship/prizepapers_ship_2543ae7d-489b-4061-86dc-325b7a8c6089/1/-/,b45bafb2-1567-48bb-99c9-958b079f92b9,"Thomas John Chew, master of the ship 'Hare', 1805",Cádiz,North Atlantic Ocean,New York City,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/ae729065-b363-48f1-978b-25a144b1eefb', 'HCA 45/58/24']]"
Vrouw Charlotte,https://portal.prizepapers.de/ship/prizepapers_ship_8009866a-e20c-4469-b2c9-211b5f853581/1/-/,71efd4a5-ea51-4f27-af19-b7d0392ba191,"Daniel Losewitz, master of the ship 'Vrouw Charlotte', 1798",Cádiz,North Atlantic Ocean,Charleston,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/93601676-aaca-42fd-a25a-dc02c8d6c881', 'HCA 45/31/28']]"
Washington,https://portal.prizepapers.de/ship/prizepapers_ship_04ffc4e7-abf3-46d2-9f3d-f88c1ffb7ecc/1/-/,87c2c622-bc7b-45eb-8271-37ed7691be7d,"David Adams, master of the ship 'Washington', 1806",Liverpool,North Atlantic Ocean,Charleston,Journey interrupted by capture,
Young James,https://portal.prizepapers.de/ship/prizepapers_ship_ef9f982e-4950-4f65-9c44-fea2a27f2756/1/-/,0df82f58-b367-4f69-bcab-4a4a25b815a3,"Bethuel Pinkham, master of the ""Young James"" in 1796",Guadeloupe,Caribbean Sea,Saint Barthélemy,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/15bb42fb-504c-4a8c-992a-b25e58353fce', 'HCA 45/30/24']]"
Laura,https://portal.prizepapers.de/ship/prizepapers_ship_db30eb0d-518a-4055-a00c-b5494e73e89b/1/-/,306e6253-084e-4728-b34c-76249c4c6a46,"Peter Pond, master of the ""Laura"" in 1794",Caribbean Sea,Montserrat,,Journey interrupted by capture,
Virginia,https://portal.prizepapers.de/ship/prizepapers_ship_1ce4acba-b22a-4c1b-aaf4-04daedeb0046/1/-/,ddee2c4b-275b-4367-9ab1-c44fad74edec,"Christopher Lee, master of the ""Virginia"" in 1796","Gonaives, St. Domingue",North Atlantic Ocean,Philadelphia,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/009e3112-1be3-48d3-a7aa-078b458fec65', 'HCA 45/32/26']]"
Union,https://portal.prizepapers.de/ship/prizepapers_ship_b3022874-0bde-4178-b18f-829b5d1a4827/1/-/,e5c7920f-2ca5-4455-a94e-8df0ba866f82,"George Pilsberry, master of the ship 'Union', 1799",Boston,North Atlantic Ocean,Havana,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/a1d6d3f3-f32f-4259-8365-6f5e3d3fc1cd', 'HCA 45/37/7']]"
Sally,https://portal.prizepapers.de/ship/prizepapers_ship_4870474e-53b4-4c8e-b11b-2f3feb075abe/1/-/,18dd3487-aa1e-4738-a0a7-85dd53ddb3bb,"George Runey, master of the ""Sally"" in 1794",Boston,North Atlantic Ocean,Martinique,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/5ba32327-bc8d-461f-b296-e0e6b665022d', 'HCA 45/32/27']]"
Nuestra Senora del Garcia,https://portal.prizepapers.de/ship/prizepapers_ship_85c2f608-9ce4-4ea9-8697-c89ffcfc1eea/1/-/,c4223546-c4dc-4030-94c4-e642bd7cf7f9,"Juan Arando, master of the ship ""Nuestra Senora del Garcia"", 1800",La Guaira,Atlantic Ocean,Jamaica,Journey interrupted by capture,
Nance,https://portal.prizepapers.de/ship/prizepapers_ship_1ea8f7ec-9ecf-4151-b677-3c75d1e4f460/1/-/,36543abf-d462-4fc9-9e34-eb4759d873dc,"Ebenezer Graves, master of the ship Nance schooner, before 1803",,Fort Royal,,Journey interrupted by capture,"[['http://discovery.nationalarchives.gov.uk/details/r/C16979281', 'HCA 45/41/28']]"
Diana,https://portal.prizepapers.de/ship/prizepapers_ship_34c026a4-30dd-45b2-a959-38b37800d20c/1/-/,8e8179fb-3f1e-4c17-bebf-4c1857d5e4cb,"Stephen Arnold Aplin, master of the Joseph Francis in 1797 and further",Port-de-Paix,Caribbean Sea,St Thomas,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/1f989195-bbb5-4cb6-9506-a8c7691adb7b', 'HCA 45/37/12']]"
Madonna del Rosario,https://portal.prizepapers.de/ship/prizepapers_ship_cf67f794-7a54-406c-869b-705acb0f0e1b/1/-/,cfe74a3d-e440-49ce-a856-f444daa0f737,"Nicolo Marinovich, master of the Madonna del Rosario in 1798",St Thomas,North Atlantic Ocean,Genoa,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/883eb69e-4fbb-48a6-a8c4-dc0e67394e32', 'HCA 45/37/14']]"
Maria,https://portal.prizepapers.de/ship/prizepapers_ship_e8f4b496-3c96-42c0-903b-5d7ea96ae6b0/1/-/,6f6acc58-d25e-4bc1-bf1c-257d37835eee,"Paul Wykstrom Paulsen, master of the Maria in 1798",Uddevalla,The Channel,Genoa,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/29c61380-8a71-49ff-9048-6ddb308e4cb7', 'HCA 45/37/15']]"
Resolution,https://portal.prizepapers.de/ship/prizepapers_ship_f7856600-0282-438d-ada3-e72fe84b93d0/1/-/,a4ee4db1-7905-4c80-89f7-46523b56456a,"G. F. Westerstrale, master of the 'Resolution' in 1801","Nassau, New Providence",Atlantic Ocean,Pensacola,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/f96821a6-023c-48d4-b10f-cbd32b55b28e', 'HCA 45/46/25']]"
Hope,https://portal.prizepapers.de/ship/prizepapers_ship_3ef028d3-54ad-4dfb-a05b-1202be98f1cc/1/-/,fce5f433-ba9b-4081-938a-8db935122fff,"John Ferrier, master of the ship ""Hope"" 1798",Batavia,Atlantic Ocean,New York City,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/61340594-91dd-4a33-8bf1-fb89d5a58b3e', 'HCA 45/40/6']]"
Haabet,https://portal.prizepapers.de/ship/prizepapers_ship_84ac7686-6b61-4858-9148-eedb4ea45612/1/-/,7cbb0ff0-d61d-4e10-aaee-a3bbd4b60cd1,"Swarte Erick Pihlgren, master of the ship ""Haabet"", 1800",Saint Domingue,Atlantic Ocean,Altona,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/c5bb7182-192a-4cde-ab5d-e16f1d02175c', 'HCA 45/41/36']]"
Teutonia,https://portal.prizepapers.de/ship/prizepapers_ship_232bd910-926a-4d0d-a3c1-9e7f2f191af8/1/-/,9dc63005-f774-4f48-88f5-54c27fdb1aa7,"Robert Anderson, master of the ship ""Teutonia"" 1798",,Tortola,,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/90abdd7c-d55b-4ef2-928a-e7aae2008337', 'HCA 45/41/37']]"
Young William,https://portal.prizepapers.de/ship/prizepapers_ship_1c42bc1b-9a44-4739-9a27-6770cbef4cb2/1/-/,e6203a29-813b-4c63-a502-2a404f514c16,"Benjamin Tatem, master of the ship ""Young William"" 1800",Guadeloupe,Atlantic Ocean,St Croix,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/14e0c787-12f8-48ed-94da-2cccd51191c3', 'HCA 45/41/40']]"
Jefferson,https://portal.prizepapers.de/ship/prizepapers_ship_43a5da1e-6cdf-403e-8abb-7dbdcb749302/1/-/,cee13195-725d-4d1e-9cbc-4e324a61ae19,"Richard Allmand, master of the ship 'Jefferson', 1793",Miragoâne,Caribbean Sea,Norfolk (Virginia),Journey interrupted by capture,[]
Concordia,https://portal.prizepapers.de/ship/prizepapers_ship_9538cfa7-7681-4b7f-bb3c-bbaf89a8ed4b/1/-/,a46f261a-6567-43fb-909f-ae071ea1a04a,"Hendrick De Boer, master of the Concordia in 1796",Petersberg,North Atlantic Ocean,Cádiz,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/3d2dba46-2d7f-49ba-b516-7b3f867056a5', 'HCA 45/34/24']]"
Nuestra Senora del Carmen y San Antonio y Almas,https://portal.prizepapers.de/ship/prizepapers_ship_14db6268-c567-461e-8dad-34c8015cdce1/1/-/,1831da9d-de47-4288-bcc3-adf47613f684,"Joaquim De Oliveira, master of the Nuestra Senora del Carmen y San Antonio y Almas in 1796",Mazagan,North Atlantic Ocean,Lisbon,Journey interrupted by capture,[]
Susa,https://portal.prizepapers.de/ship/prizepapers_ship_c51cc200-59f4-41d5-9572-d594131c57a8/1/-/,9324f362-d995-4882-a267-05b11510c37b,"Barzillai Hussey, master of the ""Susa"" in 1799",Dunkirk,North Atlantic Ocean,New York City,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/9d01d9f3-e448-4ed8-8852-533d99b75050', 'HCA 45/39/19']]"
Thomas,https://portal.prizepapers.de/ship/prizepapers_ship_24638bcd-16a6-4260-bbc6-9efdd87fa854/1/-/,dbb0086b-79a1-4b3a-8a51-d2618210f299,"Abraham Helms, master of the ""Thomas"" in 1797",Puerto Rico,North Atlantic Ocean,St Thomas,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/25902570-a8d6-4a84-89af-da5d14c6829b', 'HCA 45/32/34']]"
Concordia,https://portal.prizepapers.de/ship/prizepapers_ship_217dece7-5285-4d01-8aab-3aed945ef36e/1/-/,69142266-875d-461b-9625-9e294fab9dbd,"Frederick Christiansen, master of the ""Concordia"" in 1796",,Demerara,,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/6dd09d97-9c7d-4fb0-a484-8d7521fadc1b', 'HCA 45/32/17']]"
Three Sisters,https://portal.prizepapers.de/ship/prizepapers_ship_cf81d70e-156f-44fa-a1e5-87c1e2bd5e6b/1/-/,6ba654f2-3ada-455c-8137-835f1659bc87,"Joshua Farrell, master of the ""Three Sisters"" in 1797",Morlaix,Falmouth,Bordeaux,Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/107f8f0c-d4f4-45d7-97ca-7168dce9b17f', 'HCA 45/32/2']]"
Eagle,https://portal.prizepapers.de/ship/prizepapers_ship_5fd30b42-41e5-498f-aee9-975960f535cd/1/-/,87bbfa14-d2fd-4979-bea4-f7e5ea3e2e6c,"Jacob Meyer, master of the Eagle in 1797",Puerto Rico,Caribbean Sea,"Christiansted, St Croix",Journey interrupted by capture,"[['https://hdl.handle.net/428894.vzg/prizepapers_document/633fd9c0-da92-4d11-92e3-64c5c40d7cb4', 'HCA 45/38/10']]"
Neptunus,https://portal.prizepapers.de/ship/prizepapers_ship_c74bf32a-4c08-49ac-a6fa-761207a08b3a/1/-/,b01941bb-8888-4452-8cba-8c41f0bf65d3,"Henderik Kuyp, master of the ship 'Neptunus', 1798",Amsterdam,The Channel,Lisbon,Journey interrupted by capture,[]
