ship names,ship url,journey id,captains,place start,place end,intended ending place,journey type,sources
Anna,https://portal.prizepapers.de/ship/prizepapers_ship_4f24cc1f-4834-4a8e-8392-1c08d337908c/1/-/,d2e7990b-214e-4ed7-9f8b-5acce60e9319,"Gottfried Schroeder, master of the ship 'Anna', 1805",Bilbao,Atlantic Ocean,Tönning,Journey interrupted by capture,[]
Johanna Wilhelmina,https://portal.prizepapers.de/ship/prizepapers_ship_886ef00e-ab5f-4226-8875-97f13cd9a0c3/1/-/,498cb14b-c872-4738-9949-fdc39aeec1be,"Tjeerd Hylkes De Boer, master of the ship 'Johanna Wilhelmina', 1796",Málaga,Mediterranean Sea,Amsterdam,Journey interrupted by capture,[]
Eurydice,https://portal.prizepapers.de/ship/prizepapers_ship_9c8e8469-84d0-4395-91c0-d65f32335f9c/1/-/,60fb1553-8612-49bb-bdc3-34ff025067d2,"Olof Winroth, master of the 'Eurydice' in 1801",Málaga,Mediterranean Sea,Hamburg,Journey interrupted by capture,[]
Delphin,https://portal.prizepapers.de/ship/prizepapers_ship_5c93761a-47fb-4076-b53c-7441e48d0533/1/-/,583ed4ee-e668-4ed1-b1ed-298acc4c4430,"Carl Frederick Hylgren, master of the ship 'Delphin', 1804",Málaga,Mediterranean Sea,Emden,Journey interrupted by capture,[]
Friede,https://portal.prizepapers.de/ship/prizepapers_ship_4b8bc10f-54e1-488d-82c1-566fde8f0db4/1/-/,37d0b11a-6f88-4347-b67a-89e992b2e3cb,"Julie Pierre Marie Biclet, master of the Friede in 1815",Amelia Island,North Atlantic Ocean,Le Havre,Journey interrupted by capture,[]
Santissima Trinidada|Santa Anna,https://portal.prizepapers.de/ship/prizepapers_ship_fbc84611-cbd1-4eeb-84ff-154facf5475c/1/-/,a98332af-83c3-4f80-8fe6-07e87c132c0d,"Clemente Del Rio, master of the ship 'Santissima Trinidada otherwise Santa Anna', 1804",Málaga,Gibraltar,Gibraltar,Journey interrupted by capture,[]
Rosa,https://portal.prizepapers.de/ship/prizepapers_ship_384c2c60-864d-4c0e-be5c-528a622a266a/1/-/,0dc48491-56d1-44d7-a239-406fcc61e276,"Loren Christian Lindved, master of the ship 'Rosa', 1797",Málaga,Gibraltar,Stettin,Journey interrupted by capture,[]
San Antonio,https://portal.prizepapers.de/ship/prizepapers_ship_f8323df0-6193-4ac0-8cc1-aadddc10a0fd/1/-/,bdbd661a-0922-4b63-aaeb-494cc90b1201,"Giovanni Pugliese, master of the ship 'San Antonio', 1799",Málaga,Atlantic Ocean,El Peñón de Alhucemas,Journey interrupted by capture,[]
Proteus,https://portal.prizepapers.de/ship/prizepapers_ship_1eba3137-5081-46e7-b7bf-4847929bb638/1/-/,5fd7bf7e-249e-4c9d-8eeb-b0c9682d3795,"Carsten Gottsche, master of the ship 'Proteus', 1797",Barcelona,Gibraltar,Bremen,Journey interrupted by capture,[]
Beata,https://portal.prizepapers.de/ship/prizepapers_ship_07c3861a-d574-4e7c-bd86-fa606d5ee29c/1/-/,7707fb35-71d7-49f2-9177-749151e22943,"Johan Frederic Ramm, master of the 'Beata' in 1797",Barcelona,Mediterranean Sea,Hamburg,Journey interrupted by capture,[]
Mars,https://portal.prizepapers.de/ship/prizepapers_ship_6198b185-3c0e-4124-9cb3-8b3415726b1b/1/-/,8c30875b-2642-457a-aa2d-c0dfcb520d46,"Evan Owen, master of the 'Mars' in 1814",Mogador,North Atlantic Ocean,London,Journey interrupted by capture,[]
