Shelfmark,UV URL,Page Label,Date,Type
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.77r,"7,4,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.77v,"7,4,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.78r,"7,4,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.78v,"7,4,23",Meeting Minutes
,,,,
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.79r,"7,11,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.79v,"7,11,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.80r,"7,11,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.80v,"7,11,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.81r,"7,11,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.81v,"7,11,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.82r,"7,11,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.82v,"7,11,23",Meeting Minutes
,,,,
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.83r,"7,18,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.83v,"7,18,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.84r,"7,18,23",Meeting Minutes
,,,,
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.84v,"7,25,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.85r,"7,25,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.85v,"7,25,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.86r,"7,25,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.86v,"7,25,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.87r,"7,25,23",Meeting Minutes
,,,,
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.87r,"8,2,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.87v,"8,2,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.88r,"8,2,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.88v,"8,2,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.89r,"8,2,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.89v,"8,2,23",Meeting Minutes
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.90r,"8,2,23",Meeting Minutes
,,,,
Add MS 25501,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439486.0x000001,f.90r,"8,8,23",Meeting Minutes
