VOYAGEID,OWNERA,CAPTAINA,CAPTAINB,CAPTAINC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135320,"Merie, Beylle & Co.","Windle, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135321,Hawthorn & Woods,"Phillips, John D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135322,Hawthorn & Woods,"Wright, John T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135323,Hawthorn & Woods,"Phillips, John D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135324,"Merie, Beylle & Co.","Windle, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135325,Hawthorn & Woods,"Wright, John T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135326,Hawthorn & Woods,"Phillips, John D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135327,"Merie, Beylle & Co.","Windle, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135328,Hawthorn & Woods,"Wright, John T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135329,"Merie, Beylle & Co.","Windle, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135330,"Merie, Beylle & Co.","Windle, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135331,"Alexander, J.","Mitchell, J.G.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135332,Hawthorn & Woods,"Phillips, John D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135333,E. Rochereau & Co.,"Windle, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135334,Hawthorn & Woods,"Phillips, John D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135335,E. Rochereau & Co.,"Windle, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135336,Frisbee,"Frisbee, R.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135337,J.P. Whitney & Co.,"Johnson, W.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135338,Hawthorn & Woods,"Phillips, John D.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135339,E. Rochereau & Co.,"Windle, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135340,Hawthorn & Woods,"Wright, John T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135341,Bridge & Bro.,"Darling, James",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135342,E. Rochereau & Co.,"Thompson, John S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135343,Hawthorn & Woods,"Wright, John T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135344,"Thomas, Edmund","Thomas, Edmund",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135345,Hawthorn & Woods,"Wright, John T.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135346,E. Rochereau & Co.,"Windle, Henry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135347,Burgess,"Burgess, A.C.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
