Shelfmark,UV URL,Page Label,Date,Type,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.84r,"11,26,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.84v,"11,26,24",Meeting Minutes,
,,,,,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.84v,"12,3,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.85r,"12,3,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.85v,"12,3,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.86r,"12,3,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.86v,"12,3,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.87r,"12,3,24",Meeting Minutes,
,,,,,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.87r,"12,10,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.87v,"12,10,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.88r,"12,10,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.88v,"12,10,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.89r,"12,10,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.89v,"12,10,24",Meeting Minutes,
,,,,,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.90r,"12,17,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.90v,"12,17,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.91r,"12,17,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.91v,"12,17,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.92r,"12,17,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.92v,"12,17,24",Meeting Minutes,
,,,,,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.92v,"12,23,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.93r,"12,23,24",Meeting Minutes,
MS 25502,http://access.bl.uk/item/viewer/ark:/81055/vdc_100182439579.0x000001,f.93v,"12,23,24",Meeting Minutes,
