id	hash	name	lat	long	value	location_type_id	parent_id	spatial_extent_id
341	6a6a9258437b4c5a98e673c103ed948e	Coleraine	-5.9301199	54.597285	10613	3	15	NULL
342	7eea58537ed9480798678f75decfce7e	Skibbereen	-9.2621303	51.5559244	10614	3	15	NULL
343	ec2b1339f6f0437bb3a3bb692ed9ca7e	Tonaghmore, Cloghernalaura	-9.3963889	53.2861111	10615	3	15	NULL
344	304c051fb85c447cbf70556748484cfe	Tynan	-6.82263	54.32999	10616	3	15	NULL
345	38687dd9b9dd4a42909d5a1ecc5c6617	Drogheda	-6.3560985	53.717856	10617	3	15	NULL
299	65336c4ff90d4671a7dd46a726dcfb65	Lough Neagh	0	0	10618	3	15	NULL
346	bdf7bf4bde3e4d53a5ab486d950846b0	Ireland, place unspecified	0	0	10699	3	15	NULL
347	2566b075a5974df3b27dd54292a40cd6	Bayonne	-1.48333	43.48333	10702	3	16	NULL
348	6aff11133aea4a2690d8f00e60048f35	Bordeaux	-0.56667	44.83333	10703	3	16	NULL
349	fc1a8f7e7cb34b589dace3a96ab4eede	Brest	-4.48333	48.4	10704	3	16	NULL
350	9c871465f3964406b0896ae95f1aa5c2	Calais	1.858686	50.95129	10705	3	16	NULL
351	2457a68b4a6c4cb9b7ce5ae1baf70a96	Camaret	-2.63932	47.7442	10706	3	16	NULL
352	008b271234fd43e2b52d083c1b72ded5	Dieppe	1.08333	49.93333	10707	3	16	NULL
353	a1e794fa4931445cb401a098382aa467	Dinard	-2.0632	48.63055	10708	3	16	NULL
354	874619b9977141b1add0c8a6b495a273	Dunkerque	2.36667	51.05	10709	3	16	NULL
355	9b098c95b98a46979b00815389ccf9b5	Honfleur	0.23333	49.41667	10710	3	16	NULL
356	1333a72ad3e844019a7fcf22e8c7b8f3	Ile de Batz	-4.01737	48.74546	10711	3	16	NULL
357	8edbe68c866f4d648160b2fd3c19450e	La Rochelle	-1.15	46.16667	10712	3	16	NULL
358	c9b3e2451d534a73ba5ecbc395b59fd5	Le Havre	0.13333	49.5	10713	3	16	NULL
359	95bc3e5dc99d40abbf652510c3ffeda4	Les Sables	-1.98232	47.06284	10714	3	16	NULL
360	991ba8d117bc45a291dd7828f66ac855	Lorient	-3.36667	47.75	10715	3	16	NULL
361	4a05ed5cf0324e2f92ad8056c02c196c	Marseille	5.4	43.3	10716	3	16	NULL
362	1bb4bcf978a74ea8a3ffa1b58746c0a8	Mediterranean coast (France)	5.4	43.3	10717	3	16	NULL
363	83e633bf176f417e8c9bb2ad6d91520f	Mindin	-2.16667	47.26667	10718	3	16	NULL
364	ff633e32aac442d69c5ba04434b657f8	Morlaix	-3.83333	48.58333	10719	3	16	NULL
365	bee9d94e21434807923d020bf97df5b6	Nantes	-1.55	47.21667	10720	3	16	NULL
366	39e6bc053cbd43b89087372e2dc46e70	Paimboeuf	-2.03333	47.28333	10721	3	16	NULL
367	e82f7ad7d20b47dba4c49bdf46b43203	Port Louis	-3.35587	47.70838	10722	3	16	NULL
368	9d3f580ca84440a0b10d86a6d360ed51	Quimper	0	0	10723	3	16	NULL
369	3107f938cfa141598cfec125dd903c05	Rochefort	-0.98333	45.93333	10724	3	16	NULL
370	4d4d4952469a453e86f8e7cca922feea	Saint-Brieuc	-2.78	48.51667	10725	3	16	NULL
371	93d7d76fab304e4aabf4bbb71ee9b6d3	Saint-Malo	-2.01667	48.65	10726	3	16	NULL
372	1025d7d2ac3c4c9383afbe8802163169	Saint-Nazaire	-2.21361	47.27432	10727	3	16	NULL
373	bcfc90300dc24c2b832ed9fe682c4caf	Saint-Tropez	0	0	10728	3	16	NULL
374	3020e4ec47aa49f6ac9d82dc5a574591	S?te	3.6966	43.40176	10729	3	16	NULL
375	b4fd4cb1755d4540826a8a65c7a95045	Vannes	-2.75	47.66667	10730	3	16	NULL
376	95497791f8d34767ab9c90014a3a14a9	Anucita	-2.8980307	42.8013829	10731	3	16	NULL
377	fcaccbfc45b14ec1b85bd0b06cb178ac	Barbezieux-Saint-Hilaire	-0.155689	45.471894	10732	3	16	NULL
378	ea5d445e2a634020a0ee076f425ad1e3	Beau sejour	-1.3025672	44.94868	10733	3	16	NULL
379	b356b094ec1a4e27bda214cd3220e37f	Bergerac	0.483392	44.853806	10734	3	16	NULL
380	4a8da82f23e84eb490f1c88337a889dd	Biarritz	-1.558626	43.4831519	10735	3	16	NULL
381	4ac5ca795e314236881e2afe7165b859	Blaye	-0.662941	45.126841	10736	3	16	NULL
382	37f5dfec9b524e1fb140e0ad857cab67	Cadillac	-0.3045881	44.6418889	10737	3	16	NULL
383	7c6010c6b47042b7a136d8a97d86b1ec	Castres	2.241295	43.606214	10738	3	16	NULL
