Shelfmark,Page Labels,Dates,Types,Slave Voyages Notes,HUNT. JPG Descriptors,image_filename,iiif_baseimage_url,,,,,,,,,,,,,,,,,
mssST15v17,f.22r,"3,31,1720",Journal Entry,Mr Woodthorpe,mssST_57_v17_052.jpg,mssST_57_v17_052.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/51/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.22r,"3,31,1720",Journal Entry,Sir James Ambercrombie,mssST_57_v17_052.jpg,mssST_57_v17_052.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/51/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
mssST15v17,f.22v,"3,31,1720",Journal Entry,Sir James Ambercrombie,mssST_57_v17_053.jpg,mssST_57_v17_053.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/52/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.22r,"4,7,1720",Journal Entry,Mr Peters,mssST_57_v17_053.jpg,mssST_57_v17_053.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/52/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.22v,"4,7,1720",Journal Entry,Mr Drummond,mssST_57_v17_054.jpg,mssST_57_v17_054.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/53/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
mssST15v17,f.23r,"4,7,1720",Journal Entry,Mr Drummond,mssST_57_v17_054.jpg,mssST_57_v17_054.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/53/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.23r,"4,7,1720",Journal Entry,Earl of Strafford,mssST_57_v17_055.jpg,mssST_57_v17_055.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/54/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
mssST15v17,f.23v,"4,7,1720",Journal Entry,Earl of Strafford,mssST_57_v17_056.jpg,mssST_57_v17_056.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/55/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.23v,"4,8,1720",Journal Entry,Mr Pels,mssST_57_v17_056.jpg,mssST_57_v17_056.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/55/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.24r,"4,8,1720",Journal Entry,Colonel Butler,mssST_57_v17_057.jpg,mssST_57_v17_057.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/56/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.24v,"4,12,1720",Journal Entry,Duke of Berwick,mssST_57_v17_058.jpg,mssST_57_v17_058.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/57/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.24v,"4,12,1720",Journal Entry,Sir Theo Jansen,mssST_57_v17_058.jpg,mssST_57_v17_058.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/57/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
mssST15v17,f.25r,"4,12,1720",Journal Entry,Sir Theo Jansen,mssST_57_v17_059.jpg,mssST_57_v17_059.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/58/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.25r,"4,13,1720",Journal Entry,Mr Drummond,mssST_57_v17_059.jpg,mssST_57_v17_059.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/58/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
mssST15v17,f.25v,"4,13,1720",Journal Entry,Mr Drummond,mssST_57_v17_060.jpg,mssST_57_v17_060.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/59/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
mssST15v17,f.26r,"4,13,1720",Journal Entry,Mr Drummond,mssST_57_v17_061.jpg,mssST_57_v17_061.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/60/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v17,f.26r,"4,13,1720",Journal Entry,Mr Trevor Milford,mssST_57_v17_061.jpg,mssST_57_v17_061.tif,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/60/full/full/0/default.jpg,,,,,,,,,,,,,,,,,
