Shelfmark,Page Labels,Dates,Types,Slave Voyages Notes,image_filename,iiif_baseimage_url,,,,,,,,,,,,,,,,,,
mssST15v18,f.17r,"4,23,1720",Journal Entry,Buster,mssST_57_v18_047.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/444/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.17r,"4,23,1720",Journal Entry,Bladen,mssST_57_v18_047.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/444/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v18,f.17v,"4,23,1720",Journal Entry,Bladen,mssST_57_v18_048.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/445/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.17v,"4,30,1720",Journal Entry,Mrs Peters,mssST_57_v18_048.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/445/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v18,f.18r,"4,30,1720",Journal Entry,Mrs Peters,mssST_57_v18_049.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/446/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.18r,"4,23,1720",Journal Entry,Madame Jennings,mssST_57_v18_049.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/446/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.18v,"1,1,1720",Journal Entry,Mr Fosherby,mssST_57_v18_050.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/447/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.18v,"1,1,1720",Journal Entry,Western,mssST_57_v18_050.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/447/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.18v,"1,7,1720",Journal Entry,Hunt,mssST_57_v18_050.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/447/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v18,f.19r,"1,7,1720",Journal Entry,Hunt,mssST_57_v18_051.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/448/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.19r,"1,7,1720",Journal Entry,Canarvon,mssST_57_v18_051.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/448/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v18,f.19v,"1,7,1720",Journal Entry,Canarvon,mssST_57_v18_052.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/449/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.19v,"1,7,1720",Journal Entry,Marchant,mssST_57_v18_052.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/449/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v18,f.20r,"1,7,1720",Journal Entry,Marchant,mssST_57_v18_053.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/450/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.20r,"1,8,1720",Journal Entry,Corbett,mssST_57_v18_053.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/450/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.20r,"1,8,1720",Journal Entry,E. of Northempton,mssST_57_v18_053.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/450/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v18,f.20v,"1,8,1720",Journal Entry,E. of Northempton,mssST_57_v18_054.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/451/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.20v,"1,9,1720",Journal Entry,Robert Corbett,mssST_57_v18_054.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/451/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.20v,"1,9,1720",Journal Entry,Loyd,mssST_57_v18_054.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/451/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
mssST15v18,f.21r,"1,9,1720",Journal Entry,Loyd,mssST_57_v18_055.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/452/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.21r,"1,9,1720",Journal Entry,Herbert,mssST_57_v18_055.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/452/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
mssST15v18,f.21r,"1,9,1720",Journal Entry,Pytt,mssST_57_v18_055.jpg,http://cdm16003.contentdm.oclc.org/digital/iiif/p16003coll20/452/full/full/0/default.jpg,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
